Designator,Mid X,Mid Y,Rotation,Layer
D1,175.4856,-48.0648,90.0,bottom
D10,232.6356,-59.971,90.0,bottom
D11,251.6856,-62.3523,90.0,bottom
D12,269.5449,-67.1148,90.0,bottom
D13,175.4762,-86.1648,90.0,bottom
D14,194.5356,-86.1648,90.0,bottom
D15,213.5856,-83.7835,90.0,bottom
D16,232.6356,-79.021,90.0,bottom
D17,251.6856,-81.4023,90.0,bottom
D18,269.5449,-86.1648,90.0,bottom
D19,129.242,-48.0116,90.0,bottom
D2,194.5356,-48.0648,90.0,bottom
D20,129.0324,-67.1148,90.0,bottom
D21,129.0324,-86.1648,90.0,bottom
D22,232.6356,-95.6898,90.0,bottom
D23,251.6856,-98.071,90.0,bottom
D24,269.5449,-100.4523,90.0,bottom
D25,109.9824,-48.0648,90.0,bottom
D26,109.9824,-67.1148,90.0,bottom
D27,109.9824,-86.1648,90.0,bottom
D28,90.9324,-45.6835,90.0,bottom
D29,90.9324,-64.7335,90.0,bottom
D3,213.5856,-45.6835,90.0,bottom
D30,90.9324,-83.7835,90.0,bottom
D31,71.8824,-40.921,90.0,bottom
D32,71.8824,-59.971,90.0,bottom
D33,71.8824,-79.021,90.0,bottom
D34,71.8824,-95.6898,90.0,bottom
D35,52.8324,-43.3023,90.0,bottom
D36,52.8324,-62.3523,90.0,bottom
D37,52.8324,-81.4023,90.0,bottom
D38,52.8324,-98.071,90.0,bottom
D39,34.4806,-48.0648,90.0,bottom
D4,232.6356,-40.921,90.0,bottom
D40,34.4806,-67.1148,90.0,bottom
D41,34.4806,-86.1648,90.0,bottom
D42,34.4806,-100.4523,90.0,bottom
D5,251.6856,-43.3023,90.0,bottom
D6,269.5449,-48.0648,90.0,bottom
D7,176.7606,-66.2773,90.0,bottom
D8,194.5356,-67.1148,90.0,bottom
D9,213.5856,-64.7335,90.0,bottom
J1,137.549975,-112.051675,0.0,top
J3,166.968025,-111.69355,180.0,top
S1,166.998685,-50.936577,0.0,top
S10,224.148685,-62.842877,0.0,top
S11,243.198685,-65.224077,0.0,top
S12,262.248685,-69.986577,0.0,top
S13,166.998685,-89.036577,0.0,top
S14,186.048685,-89.036577,0.0,top
S15,205.098685,-86.655377,0.0,top
S16,224.148685,-81.892877,0.0,top
S17,243.198685,-84.274077,0.0,top
S18,262.248685,-89.036577,0.0,top
S19,203.7116,-102.8823,0.0,top
S2,186.048685,-50.936577,0.0,top
S20,137.520485,-50.936577,0.0,top
S21,137.520485,-69.986577,0.0,top
S22,223.069653,-104.94343,12.0,top
S23,245.162336,-108.086689,348.0,top
S24,264.212336,-110.467889,348.0,top
S25,137.520485,-89.036577,0.0,top
S26,118.470485,-50.936577,0.0,top
S27,118.470485,-69.986577,0.0,top
S28,118.470485,-89.036577,0.0,top
S29,99.420485,-48.555277,0.0,top
S3,205.098685,-48.555377,0.0,top
S30,99.420485,-67.605277,0.0,top
S31,99.420485,-86.655277,0.0,top
S32,80.370485,-43.792777,0.0,top
S33,80.370485,-62.842777,0.0,top
S34,80.370485,-81.892777,0.0,top
S35,81.449536,-105.175889,348.0,top
S36,61.320485,-46.174077,0.0,top
S37,61.320485,-65.224077,0.0,top
S38,61.320485,-84.274077,0.0,top
S39,59.356853,-107.85423,12.0,top
S4,224.148685,-43.792877,0.0,top
S40,42.270485,-50.936577,0.0,top
S41,42.270485,-69.986577,0.0,top
S42,42.270485,-89.036577,0.0,top
S43,40.306853,-110.23543,12.0,top
S44,100.7872,-102.0666,0.0,top
S5,243.198685,-46.174077,0.0,top
S6,262.248685,-50.936577,0.0,top
S7,166.998685,-69.986577,0.0,top
S8,186.048685,-69.986577,0.0,top
S9,205.098685,-67.605377,0.0,top
SW1,160.0074,-112.4273,270.0,top
SW2,144.5106,-111.3273,90.0,top
U1,175.4574,-111.2773,90.0,top
U2,129.0606,-111.2773,270.0,top
